a	b
abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, đh, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
access	lối, cửa, đường vào
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, sự điều tiết, sự làm cho phù hợp
accompany	đi theo, đi cùng, kèm theo.
according to	theo, y theo
account	tài khoản, kế toán; tính toán, tính đến
accurate	đúng đắn, chính xác, xác đáng
accurately	đúng đắn, chính xác
accuse	tố cáo, buộc tội, kết tội
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
across	qua, ngang qua
act	hành động,hành vi,cử chỉ, đối xử
action	hành động, hành vi,tác động
active	tích cực hoạt động, nhanh nhẹn
actively	tích cực hoạt động, nhanh nhẹn, linh lợi, có hiệu lực
activity	sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi
actor	diễn viên nam
actress	diễn viên nữ
actual	thực tế, có thật
actually	hiện nay, hiện tại
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tươngxứng, thỏađáng
adjust	sửa lại cho đúng, điều chỉnh
admiration	sự khâm phục, thán phục
admire	khâm phục, thán phục
admit	nhận vào, cho vào, kết hợp
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người lớn, người trưởng thành; trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên, đề xuat
advanced	tiên tiến, tiến bộ, cap cao. in advance trước, sớm
advantage	sự thuận lợi, lợi ích, lợi thế. take advantage of lợi dụng
adventure	sự phiêu lưu, mạo hiểm
advertise	báo cho biết, báo cho biết trước
advertisement	quảng cáo
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làmảnhhưởng,tácđộngđến
affection	tình cảm, sự yêu mến
afford	có thể, có đủ khả năng, điều kiện (làm gì)
afraid	sợ, sợ hãi, hoảng sợ
after	sau,đằngsau,saukhi
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đây
again	lại, nữa, lần nữa
against	chống lại, phản đối
age	tuổi
aged	già đi
agency	tácdụng,lực; môigiới,trunggian
agent	đại lý, tác nhân
aggressive	xâm lược, hung hăng (us: xông xáo)
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành; hiệp định, hợp đồng
ahead	trước, về phía trước
aid	sự giúp đỡ; thêm vào, phụ vào
